Sequence,Mean Score,Std Dev,Sample Size,Global Mean,Global Std,Global Sample Size
5UOI_1,1.014,0.016,5,1.014,0.016,5
5UOI_81,1.0863,0.0253,5,1.0863,0.0253,5
5UOI_35,1.0876,0.0244,5,1.0876,0.0244,5
5UOI_73,1.0894,0.0144,5,1.0894,0.0144,5
5UOI_87,1.0968,0.0173,5,1.0968,0.0173,5
5UOI_82,1.0972,0.0147,5,1.0972,0.0147,5
5UOI_42,1.0987,0.0189,5,1.0987,0.0189,5
5UOI_90,1.0989,0.0109,5,1.0989,0.0109,5
5UOI_23,1.1005,0.0198,5,1.1005,0.0198,5
5UOI_43,1.1047,0.007,5,1.1047,0.007,5
5UOI_44,1.1104,0.0184,5,1.1104,0.0184,5
5UOI_67,1.1112,0.0105,5,1.1112,0.0105,5
5UOI_68,1.1119,0.0085,5,1.1119,0.0085,5
5UOI_20,1.1125,0.0133,5,1.1125,0.0133,5
5UOI_38,1.1142,0.0102,5,1.1142,0.0102,5
5UOI_61,1.1167,0.012,5,1.1167,0.012,5
5UOI_29,1.1168,0.0141,5,1.1168,0.0141,5
5UOI_62,1.1171,0.0239,5,1.1171,0.0239,5
5UOI_17,1.1174,0.0201,5,1.1174,0.0201,5
5UOI_83,1.1175,0.0246,5,1.1175,0.0246,5
5UOI_12,1.1182,0.0244,5,1.1182,0.0244,5
5UOI_94,1.1202,0.0217,5,1.1202,0.0217,5
5UOI_51,1.1213,0.0246,5,1.1213,0.0246,5
5UOI_9,1.1216,0.0156,5,1.1216,0.0156,5
5UOI_41,1.1237,0.0182,5,1.1237,0.0182,5
5UOI_2,1.124,0.0183,5,1.124,0.0183,5
5UOI_8,1.1242,0.0168,5,1.1242,0.0168,5
5UOI_80,1.1244,0.0281,5,1.1244,0.0281,5
5UOI_5,1.1254,0.0233,5,1.1254,0.0233,5
5UOI_79,1.1256,0.0325,5,1.1256,0.0325,5
5UOI_24,1.1257,0.0375,5,1.1257,0.0375,5
5UOI_54,1.1261,0.0091,5,1.1261,0.0091,5
5UOI_48,1.1265,0.0369,5,1.1265,0.0369,5
5UOI_64,1.1278,0.0207,5,1.1278,0.0207,5
5UOI_69,1.1284,0.0117,5,1.1284,0.0117,5
5UOI_31,1.1294,0.033,5,1.1294,0.033,5
5UOI_93,1.1295,0.0225,5,1.1295,0.0225,5
5UOI_53,1.1296,0.0277,5,1.1296,0.0277,5
5UOI_72,1.1298,0.0337,5,1.1298,0.0337,5
5UOI_40,1.1301,0.0275,5,1.1301,0.0275,5
5UOI_101,1.1309,0.0238,5,1.1309,0.0238,5
5UOI_59,1.1319,0.0258,5,1.1319,0.0258,5
5UOI_66,1.1322,0.0115,5,1.1322,0.0115,5
5UOI_4,1.1322,0.0131,5,1.1322,0.0131,5
