Score for 5UOI from PDB, mean: 1.5336, std: 0.0244, sample size: 5,  global score, mean: 1.5336, std: 0.0244, sample size: 5
Score for 5UOI_1 from FASTA, mean: 1.0692, std: 0.0025, sample size: 5,  global score, mean: 1.0692, std: 0.0025, sample size: 5
Score for 5UOI_2 from FASTA, mean: 1.1079, std: 0.0278, sample size: 5,  global score, mean: 1.1079, std: 0.0278, sample size: 5
Score for 5UOI_3 from FASTA, mean: 1.1699, std: 0.0173, sample size: 5,  global score, mean: 1.1699, std: 0.0173, sample size: 5
Score for 5UOI_4 from FASTA, mean: 1.0965, std: 0.0129, sample size: 5,  global score, mean: 1.0965, std: 0.0129, sample size: 5
Score for 5UOI_5 from FASTA, mean: 1.1055, std: 0.0302, sample size: 5,  global score, mean: 1.1055, std: 0.0302, sample size: 5
Score for 5UOI_6 from FASTA, mean: 1.0717, std: 0.0165, sample size: 5,  global score, mean: 1.0717, std: 0.0165, sample size: 5
Score for 5UOI_7 from FASTA, mean: 1.1140, std: 0.0194, sample size: 5,  global score, mean: 1.1140, std: 0.0194, sample size: 5
Score for 5UOI_8 from FASTA, mean: 1.0861, std: 0.0184, sample size: 5,  global score, mean: 1.0861, std: 0.0184, sample size: 5
Score for 5UOI_9 from FASTA, mean: 1.0918, std: 0.0163, sample size: 5,  global score, mean: 1.0918, std: 0.0163, sample size: 5
Score for 5UOI_10 from FASTA, mean: 1.1027, std: 0.0122, sample size: 5,  global score, mean: 1.1027, std: 0.0122, sample size: 5
Score for 5UOI_11 from FASTA, mean: 1.1066, std: 0.0163, sample size: 5,  global score, mean: 1.1066, std: 0.0163, sample size: 5
Score for 5UOI_12 from FASTA, mean: 1.1107, std: 0.0191, sample size: 5,  global score, mean: 1.1107, std: 0.0191, sample size: 5
Score for 5UOI_13 from FASTA, mean: 1.1001, std: 0.0187, sample size: 5,  global score, mean: 1.1001, std: 0.0187, sample size: 5
Score for 5UOI_14 from FASTA, mean: 1.0996, std: 0.0192, sample size: 5,  global score, mean: 1.0996, std: 0.0192, sample size: 5
Score for 5UOI_15 from FASTA, mean: 1.1090, std: 0.0129, sample size: 5,  global score, mean: 1.1090, std: 0.0129, sample size: 5
Score for 5UOI_16 from FASTA, mean: 1.1132, std: 0.0314, sample size: 5,  global score, mean: 1.1132, std: 0.0314, sample size: 5
Score for 5UOI_17 from FASTA, mean: 1.0832, std: 0.0181, sample size: 5,  global score, mean: 1.0832, std: 0.0181, sample size: 5
Score for 5UOI_18 from FASTA, mean: 1.1157, std: 0.0235, sample size: 5,  global score, mean: 1.1157, std: 0.0235, sample size: 5
Score for 5UOI_19 from FASTA, mean: 1.1144, std: 0.0248, sample size: 5,  global score, mean: 1.1144, std: 0.0248, sample size: 5
Score for 5UOI_20 from FASTA, mean: 1.0957, std: 0.0164, sample size: 5,  global score, mean: 1.0957, std: 0.0164, sample size: 5
Score for 5UOI_21 from FASTA, mean: 1.1040, std: 0.0091, sample size: 5,  global score, mean: 1.1040, std: 0.0091, sample size: 5
Score for 5UOI_22 from FASTA, mean: 1.1049, std: 0.0065, sample size: 5,  global score, mean: 1.1049, std: 0.0065, sample size: 5
Score for 5UOI_23 from FASTA, mean: 1.1041, std: 0.0059, sample size: 5,  global score, mean: 1.1041, std: 0.0059, sample size: 5
Score for 5UOI_24 from FASTA, mean: 1.0810, std: 0.0203, sample size: 5,  global score, mean: 1.0810, std: 0.0203, sample size: 5
Score for 5UOI_25 from FASTA, mean: 1.1001, std: 0.0130, sample size: 5,  global score, mean: 1.1001, std: 0.0130, sample size: 5
Score for 5UOI_26 from FASTA, mean: 1.0696, std: 0.0233, sample size: 5,  global score, mean: 1.0696, std: 0.0233, sample size: 5
Score for 5UOI_27 from FASTA, mean: 1.0567, std: 0.0206, sample size: 5,  global score, mean: 1.0567, std: 0.0206, sample size: 5
Score for 5UOI_28 from FASTA, mean: 1.1009, std: 0.0176, sample size: 5,  global score, mean: 1.1009, std: 0.0176, sample size: 5
Score for 5UOI_29 from FASTA, mean: 1.1124, std: 0.0244, sample size: 5,  global score, mean: 1.1124, std: 0.0244, sample size: 5
Score for 5UOI_30 from FASTA, mean: 1.0952, std: 0.0346, sample size: 5,  global score, mean: 1.0952, std: 0.0346, sample size: 5
Score for 5UOI_31 from FASTA, mean: 1.0671, std: 0.0158, sample size: 5,  global score, mean: 1.0671, std: 0.0158, sample size: 5
Score for 5UOI_32 from FASTA, mean: 1.1062, std: 0.0155, sample size: 5,  global score, mean: 1.1062, std: 0.0155, sample size: 5
